"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Carlos Beltran","Yankees","133","531","19","57","67","0","8.5 %","16.0 %",".195",".297",".276",".337",".471",".346","119","-0.4","11.0","-10.4","1.9","589"
"Ben Revere","- - -","152","634","2","84","45","31","5.0 %","10.1 %",".071",".338",".306",".342",".377",".316","98","8.0","6.2","-8.7","1.9","4712"
"DJ LeMahieu","Rockies","150","620","6","85","61","23","8.1 %","17.3 %",".087",".362",".301",".358",".388",".327","89","3.2","-4.6","2.8","1.9","9874"
"Wilmer Flores","Mets","137","510","16","55","59","0","3.7 %","12.4 %",".145",".273",".263",".295",".408",".304","95","0.0","-2.7","4.3","1.9","5827"
"Ian Desmond","Nationals","156","641","19","69","62","13","7.0 %","29.2 %",".151",".307",".233",".290",".384",".294","83","5.5","-7.1","3.3","1.7","6885"
"Marcus Semien","Athletics","155","601","15","65","45","11","7.0 %","22.0 %",".147",".312",".257",".310",".405",".311","98","1.0","-0.3","-3.3","1.7","12533"
"Jhonny Peralta","Cardinals","155","640","17","64","71","1","7.8 %","17.3 %",".136",".311",".275",".334",".411",".323","105","-6.6","-3.1","-0.8","1.7","1738"
"Yangervis Solarte","Padres","152","571","14","63","63","1","6.0 %","9.8 %",".158",".279",".270",".320",".428",".324","109","-4.5","1.6","-3.9","1.6","5352"
"Salvador Perez","Royals","142","553","21","52","70","1","2.4 %","14.8 %",".166",".270",".260",".280",".426",".300","87","-6.7","-14.9","12.0","1.6","7304"
"Prince Fielder","Rangers","158","693","23","78","98","0","9.2 %","12.7 %",".158",".323",".305",".378",".463",".360","124","-6.6","12.4","-20.0","1.6","4613"
"Elvis Andrus","Rangers","160","661","7","69","62","25","7.0 %","11.8 %",".099",".283",".258",".309",".357",".292","77","3.8","-14.2","7.1","1.6","8709"
"Nick Markakis","Braves","156","686","3","73","53","2","10.2 %","12.1 %",".080",".338",".296",".370",".376",".327","107","-1.7","4.2","-10.8","1.6","5930"
"Alcides Escobar","Royals","148","662","3","76","47","17","3.9 %","11.3 %",".064",".286",".257",".293",".320",".271","67","4.4","-21.2","13.9","1.5","6310"
"Chase Headley","Yankees","156","642","11","74","62","0","7.9 %","21.0 %",".110",".317",".259",".324",".369",".307","91","0.5","-6.1","-0.8","1.5","4720"
"Yadier Molina","Cardinals","136","530","4","34","61","3","6.0 %","11.1 %",".080",".295",".270",".310",".350",".287","80","-2.5","-14.6","10.7","1.3","7007"
"Freddy Galvis","Phillies","151","603","7","63","50","10","5.0 %","17.1 %",".081",".309",".263",".302",".343",".283","76","4.6","-12.4","5.9","1.3","6609"
